event_type,duration,engagement_level,text_data,location,time_of_day,overloaded
Social Interaction,120,5,Stressful work deadline,Home,Afternoon,1
Social Interaction,20,2,Chat with close friends,Gym,Evening,0
Casual Lunch,12,5,Focused reading session,Office,Afternoon,0
Exercise,30,1,Late-night project work,Home,Afternoon,0
Meeting,45,1,Networking with professionals,Home,Evening,0
Commute,45,4,Networking with professionals,Office,Evening,1
Casual Lunch,75,3,Presentation preparation,Outdoor,Morning,0
Commute,90,3,Casual dinner conversation,Gym,Morning,0
Social Interaction,45,5,Deep work session,Gym,Afternoon,1
Exercise,45,4,Quick coffee break,Gym,Morning,1
Social Interaction,45,5,Quick coffee break,Home,Morning,1
Commute,45,2,Chat with close friends,Gym,Morning,0
Exercise,75,5,Intense workout session,Outdoor,Morning,1
Casual Lunch,60,5,Casual dinner conversation,Home,Morning,1
Exercise,90,2,Client negotiation meeting,Home,Morning,0
Social Interaction,90,4,Public speaking event,Outdoor,Evening,1
Break,60,5,Team-building activity,Gym,Morning,1
Meeting,120,5,Outdoor adventure,Office,Afternoon,1
Meeting,60,4,Relaxing with family,Home,Morning,1
Exercise,45,4,Engaging lecture,Home,Evening,1
Casual Lunch,75,1,Casual dinner conversation,Gym,Morning,0
Casual Lunch,12,1,Casual online chat,Office,Morning,0
Commute,12,2,Went for a long walk,Outdoor,Morning,0
Meeting,90,3,Went for a long walk,Outdoor,Afternoon,0
Commute,90,3,Deep work session,Outdoor,Evening,0
Break,120,4,Outdoor adventure,Outdoor,Evening,1
Commute,60,4,Team-building activity,Home,Afternoon,1
Meeting,90,1,Presentation preparation,Office,Morning,0
Exercise,90,5,Networking with professionals,Outdoor,Afternoon,1
Meeting,45,4,Discuss project details,Office,Morning,1
Casual Lunch,60,1,Stressful work deadline,Office,Morning,0
Social Interaction,12,3,Discuss project details,Outdoor,Morning,0
Social Interaction,120,4,Deep work session,Outdoor,Afternoon,1
Exercise,15,5,Went for a long walk,Gym,Afternoon,0
Casual Lunch,75,5,Networking with professionals,Office,Morning,1
Social Interaction,60,4,Lunch meeting with potential clients,Home,Evening,1
Break,20,4,Public speaking event,Office,Morning,0
Social Interaction,75,5,Strategic planning,Home,Afternoon,1
Exercise,45,1,Social gathering,Home,Morning,0
Social Interaction,45,4,Relaxing with family,Home,Morning,1
Exercise,45,4,Outdoor adventure,Home,Evening,1
Meeting,12,5,Stressful work deadline,Home,Afternoon,0
Casual Lunch,15,4,Daily long commute,Gym,Morning,0
Break,90,3,Chat with close friends,Office,Evening,0
Social Interaction,120,4,Engaging lecture,Gym,Afternoon,1
Social Interaction,12,2,Social gathering,Home,Morning,0
Commute,30,4,Networking with professionals,Gym,Afternoon,0
Casual Lunch,45,4,Team-building activity,Home,Afternoon,1
Commute,90,5,Casual online chat,Outdoor,Morning,1
Commute,45,5,Stressful work deadline,Outdoor,Morning,1
Meeting,120,3,Brainstorming new ideas,Gym,Morning,0
Break,75,2,Quick coffee break,Office,Morning,0
Casual Lunch,45,1,Daily long commute,Home,Afternoon,0
Casual Lunch,90,4,Lunch meeting with potential clients,Home,Morning,1
Casual Lunch,60,4,Casual online chat,Home,Evening,1
Commute,45,5,Stressful work deadline,Outdoor,Morning,1
Exercise,90,5,Public speaking event,Home,Afternoon,1
Social Interaction,120,4,Stressful work deadline,Home,Morning,1
Meeting,20,2,Deep work session,Office,Afternoon,0
Exercise,20,2,Quick coffee break,Office,Evening,0
Break,90,4,Outdoor adventure,Office,Morning,1
Meeting,60,5,Solo reflection time,Home,Evening,1
Commute,75,5,Gym session with trainer,Home,Morning,1
Casual Lunch,90,4,Gym session with trainer,Gym,Afternoon,1
Meeting,120,5,Customer support call,Office,Morning,1
Commute,120,4,Client negotiation meeting,Outdoor,Evening,1
Social Interaction,60,4,Solo reflection time,Office,Afternoon,1
Break,12,3,Casual online chat,Office,Morning,0
Meeting,60,5,Gym session with trainer,Home,Morning,1
Casual Lunch,60,5,Team-building activity,Gym,Evening,1
Exercise,90,5,Customer support call,Home,Morning,1
Casual Lunch,30,2,Team-building activity,Home,Morning,0
Commute,45,4,Meditation and relaxation,Home,Afternoon,1
Commute,75,4,Social gathering,Office,Morning,1
Casual Lunch,45,4,Solo reflection time,Office,Morning,1
Casual Lunch,45,5,Intense workout session,Gym,Evening,1
Meeting,30,4,Coding session,Outdoor,Morning,0
Exercise,75,4,Outdoor adventure,Outdoor,Evening,1
Break,60,1,Deep work session,Outdoor,Morning,0
Social Interaction,120,4,Casual online chat,Office,Evening,1
Exercise,30,2,Gym session with trainer,Home,Afternoon,0
Break,45,5,Stressful work deadline,Home,Morning,1
Meeting,45,5,Chat with close friends,Home,Evening,1
Break,90,1,Public speaking event,Office,Morning,0
Casual Lunch,120,5,Client negotiation meeting,Gym,Afternoon,1
Commute,90,1,Strategic planning,Outdoor,Morning,0
Exercise,75,5,Brainstorming new ideas,Office,Afternoon,1
Commute,60,1,Engaging lecture,Home,Morning,0
Casual Lunch,45,4,Casual online chat,Gym,Evening,1
Social Interaction,75,5,Focused reading session,Outdoor,Morning,1
Commute,120,5,Deep work session,Home,Morning,1
Commute,60,5,Outdoor adventure,Gym,Afternoon,1
Commute,75,4,Brainstorming new ideas,Home,Evening,1
Social Interaction,75,1,Late-night project work,Outdoor,Evening,0
Commute,90,5,Presentation preparation,Outdoor,Evening,1
Exercise,90,1,Casual dinner conversation,Gym,Morning,0
Exercise,90,1,Discuss project details,Office,Afternoon,0
Casual Lunch,120,4,Client negotiation meeting,Office,Morning,1
Commute,90,4,Engaging lecture,Outdoor,Morning,1
Social Interaction,75,4,Public speaking event,Office,Morning,1
Commute,75,4,Quick coffee break,Outdoor,Morning,1
Break,120,5,Strategic planning,Outdoor,Morning,1
Exercise,12,3,Customer support call,Home,Morning,0
Exercise,120,3,Casual dinner conversation,Office,Afternoon,0
Commute,60,4,Chat with close friends,Gym,Evening,1
Social Interaction,15,1,Coding session,Gym,Morning,0
Casual Lunch,90,2,Team-building activity,Office,Morning,0
Social Interaction,12,5,Presentation preparation,Gym,Evening,0
Break,15,1,Chat with close friends,Gym,Morning,0
Break,120,5,Strategic planning,Gym,Morning,1
Break,120,4,Deep work session,Outdoor,Evening,1
Commute,15,3,Focused reading session,Home,Morning,0
Social Interaction,60,2,Strategic planning,Home,Morning,0
Social Interaction,90,1,Client negotiation meeting,Office,Afternoon,0
Break,120,2,Coding session,Home,Morning,0
Meeting,90,1,Social gathering,Outdoor,Morning,0
Exercise,75,1,Customer support call,Home,Evening,0
Casual Lunch,90,4,Relaxing with family,Gym,Morning,1
Meeting,30,2,Networking with professionals,Home,Morning,0
Break,60,5,Presentation preparation,Gym,Morning,1
Commute,60,3,Casual dinner conversation,Office,Morning,0
Break,120,4,Board meeting with executives,Gym,Morning,1
Break,45,5,Board meeting with executives,Home,Evening,1
Exercise,60,2,Presentation preparation,Office,Afternoon,0
Meeting,90,5,Discuss project details,Home,Morning,1
Exercise,90,5,Casual online chat,Home,Morning,1
Casual Lunch,120,5,Focused reading session,Home,Evening,1
Casual Lunch,45,1,Meditation and relaxation,Gym,Morning,0
Commute,90,5,Solo reflection time,Gym,Evening,1
Social Interaction,60,5,Late-night project work,Outdoor,Afternoon,1
Break,30,3,Meditation and relaxation,Home,Morning,0
Break,45,4,Gym session with trainer,Gym,Afternoon,1
Commute,75,4,Social gathering,Gym,Afternoon,1
Meeting,120,4,Discuss project details,Office,Afternoon,1
Exercise,75,1,Solo reflection time,Outdoor,Evening,0
Social Interaction,120,4,Chat with close friends,Outdoor,Evening,1
Commute,75,2,Daily long commute,Home,Morning,0
Commute,30,3,Strategic planning,Office,Morning,0
Exercise,12,3,Board meeting with executives,Outdoor,Evening,0
Social Interaction,75,2,Lunch meeting with potential clients,Home,Afternoon,0
Casual Lunch,12,2,Casual online chat,Gym,Afternoon,0
Casual Lunch,45,1,Team-building activity,Home,Evening,0
Exercise,60,5,Public speaking event,Office,Evening,1
Commute,120,5,Late-night project work,Gym,Afternoon,1
Commute,30,5,Team-building activity,Home,Afternoon,0
Meeting,12,5,Networking with professionals,Outdoor,Evening,0
Exercise,90,5,Casual online chat,Gym,Evening,1
Commute,30,4,Gym session with trainer,Outdoor,Morning,0
Commute,90,3,Meditation and relaxation,Office,Afternoon,0
Social Interaction,120,5,Daily long commute,Gym,Evening,1
Meeting,90,5,Meditation and relaxation,Gym,Morning,1
Exercise,75,3,Discuss project details,Office,Afternoon,0
Social Interaction,75,1,Board meeting with executives,Outdoor,Evening,0
Meeting,30,1,Intense workout session,Office,Morning,0
Casual Lunch,45,3,Presentation preparation,Office,Morning,0
Break,90,3,Public speaking event,Office,Afternoon,0
Exercise,15,4,Customer support call,Home,Morning,0
Social Interaction,75,4,Late-night project work,Outdoor,Evening,1
Meeting,30,3,Deep work session,Office,Morning,0
Meeting,60,3,Solo reflection time,Office,Morning,0
Exercise,90,3,Casual online chat,Gym,Afternoon,0
Commute,12,1,Brainstorming new ideas,Office,Afternoon,0
Exercise,15,4,Client negotiation meeting,Office,Afternoon,0
Commute,75,3,Relaxing with family,Office,Morning,0
Casual Lunch,20,5,Discuss project details,Home,Evening,0
Commute,90,5,Public speaking event,Home,Afternoon,1
Exercise,120,2,Focused reading session,Home,Afternoon,0
Social Interaction,60,5,Outdoor adventure,Gym,Morning,1
Meeting,75,4,Social gathering,Office,Morning,1
Social Interaction,75,5,Social gathering,Gym,Morning,1
Commute,15,2,Chat with close friends,Gym,Evening,0
Casual Lunch,120,4,Public speaking event,Gym,Evening,1
Break,60,2,Brainstorming new ideas,Outdoor,Morning,0
Casual Lunch,30,5,Presentation preparation,Gym,Morning,0
Break,90,4,Lunch meeting with potential clients,Gym,Afternoon,1
Exercise,45,4,Networking with professionals,Home,Afternoon,1
Commute,30,1,Coding session,Outdoor,Morning,0
Commute,90,1,Quick coffee break,Home,Morning,0
Social Interaction,15,3,Public speaking event,Outdoor,Morning,0
Commute,75,4,Went for a long walk,Outdoor,Morning,1
Exercise,75,2,Social gathering,Home,Morning,0
Casual Lunch,20,1,Lunch meeting with potential clients,Home,Morning,0
Social Interaction,90,1,Lunch meeting with potential clients,Gym,Evening,0
Break,12,3,Board meeting with executives,Gym,Afternoon,0
Exercise,75,4,Team-building activity,Office,Morning,1
Exercise,90,4,Brainstorming new ideas,Home,Afternoon,1
Commute,90,3,Customer support call,Office,Evening,0
Meeting,30,2,Board meeting with executives,Office,Morning,0
Casual Lunch,75,5,Quick coffee break,Office,Morning,1
Exercise,90,3,Daily long commute,Office,Evening,0
Meeting,90,4,Strategic planning,Home,Morning,1
Casual Lunch,15,5,Stressful work deadline,Home,Evening,0
Exercise,120,4,Chat with close friends,Outdoor,Afternoon,1
Exercise,90,2,Solo reflection time,Home,Afternoon,0
Social Interaction,90,1,Solo reflection time,Gym,Morning,0
Casual Lunch,20,4,Meditation and relaxation,Outdoor,Morning,0
Commute,45,3,Lunch meeting with potential clients,Outdoor,Morning,0
Meeting,120,3,Casual dinner conversation,Gym,Afternoon,0
Meeting,75,4,Discuss project details,Home,Evening,1
Casual Lunch,120,3,Team-building activity,Outdoor,Morning,0
Social Interaction,90,5,Meditation and relaxation,Outdoor,Evening,1
Social Interaction,120,1,Solo reflection time,Office,Morning,0
Break,90,5,Relaxing with family,Gym,Evening,1
Break,120,4,Team-building activity,Office,Afternoon,1
Exercise,90,2,Engaging lecture,Outdoor,Evening,0
Exercise,12,4,Went for a long walk,Outdoor,Morning,0
Meeting,30,5,Casual dinner conversation,Outdoor,Afternoon,0
Commute,45,1,Lunch meeting with potential clients,Gym,Afternoon,0
Casual Lunch,45,1,Deep work session,Outdoor,Evening,0
Commute,75,4,Intense workout session,Office,Afternoon,1
Exercise,45,4,Late-night project work,Home,Morning,1
Casual Lunch,120,4,Presentation preparation,Gym,Morning,1
Exercise,30,1,Late-night project work,Office,Afternoon,0
Exercise,120,3,Client negotiation meeting,Home,Afternoon,0
Casual Lunch,90,5,Casual dinner conversation,Office,Morning,1
Casual Lunch,45,4,Went for a long walk,Gym,Morning,1
Exercise,90,5,Meditation and relaxation,Home,Evening,1
Commute,30,5,Stressful work deadline,Office,Morning,0
Social Interaction,120,4,Client negotiation meeting,Outdoor,Morning,1
Meeting,15,5,Brainstorming new ideas,Home,Afternoon,0
Break,60,4,Relaxing with family,Home,Morning,1
Exercise,45,5,Gym session with trainer,Gym,Evening,1
Commute,45,2,Social gathering,Home,Morning,0
Exercise,75,5,Deep work session,Office,Afternoon,1
Social Interaction,60,4,Gym session with trainer,Home,Morning,1
Casual Lunch,75,4,Strategic planning,Gym,Morning,1
Exercise,90,2,Customer support call,Office,Morning,0
Break,60,5,Presentation preparation,Office,Evening,1
Meeting,120,4,Coding session,Gym,Evening,1
Social Interaction,90,3,Late-night project work,Gym,Morning,0
Commute,120,5,Discuss project details,Gym,Morning,1
Social Interaction,75,1,Board meeting with executives,Home,Morning,0
Exercise,75,1,Coding session,Outdoor,Evening,0
Casual Lunch,90,5,Gym session with trainer,Home,Morning,1
Exercise,60,2,Engaging lecture,Outdoor,Morning,0
Break,60,4,Casual dinner conversation,Outdoor,Morning,1
Break,60,5,Coding session,Gym,Afternoon,1
Meeting,20,4,Presentation preparation,Office,Evening,0
Commute,60,4,Stressful work deadline,Gym,Morning,1
Commute,12,2,Engaging lecture,Office,Evening,0
Exercise,20,2,Lunch meeting with potential clients,Office,Morning,0
Exercise,120,4,Gym session with trainer,Gym,Morning,1
Commute,90,5,Gym session with trainer,Home,Evening,1
Social Interaction,60,4,Team-building activity,Gym,Afternoon,1
Meeting,120,3,Focused reading session,Office,Morning,0
Break,75,4,Relaxing with family,Office,Morning,1
Commute,60,4,Solo reflection time,Gym,Morning,1
Commute,15,2,Lunch meeting with potential clients,Outdoor,Morning,0
Casual Lunch,90,1,Client negotiation meeting,Office,Morning,0
Commute,90,4,Social gathering,Office,Afternoon,1
Social Interaction,75,4,Coding session,Gym,Afternoon,1
Social Interaction,75,2,Engaging lecture,Office,Morning,0
Social Interaction,120,5,Engaging lecture,Office,Morning,1
Meeting,45,2,Engaging lecture,Home,Morning,0
Exercise,12,2,Social gathering,Outdoor,Afternoon,0
Commute,60,4,Solo reflection time,Home,Evening,1
Meeting,45,3,Intense workout session,Home,Afternoon,0
Break,30,4,Meditation and relaxation,Office,Afternoon,0
Social Interaction,45,4,Networking with professionals,Home,Evening,1
Social Interaction,60,5,Customer support call,Office,Morning,1
Casual Lunch,75,5,Discuss project details,Home,Morning,1
Social Interaction,60,3,Casual online chat,Office,Morning,0
Exercise,45,2,Strategic planning,Office,Evening,0
Break,45,5,Strategic planning,Office,Evening,1
Commute,90,5,Quick coffee break,Office,Morning,1
Commute,90,4,Board meeting with executives,Office,Evening,1
Meeting,45,1,Social gathering,Office,Morning,0
Social Interaction,75,5,Outdoor adventure,Home,Morning,1
Casual Lunch,60,5,Casual dinner conversation,Gym,Afternoon,1
Commute,120,1,Strategic planning,Outdoor,Morning,0
Casual Lunch,75,1,Deep work session,Gym,Morning,0
Meeting,60,5,Casual online chat,Office,Evening,1
Casual Lunch,90,3,Client negotiation meeting,Gym,Afternoon,0
Exercise,30,1,Focused reading session,Home,Afternoon,0
Break,60,5,Meditation and relaxation,Office,Morning,1
Break,90,4,Strategic planning,Office,Afternoon,1
Break,120,5,Outdoor adventure,Home,Morning,1
Exercise,30,1,Late-night project work,Office,Evening,0
Social Interaction,45,4,Client negotiation meeting,Gym,Evening,1
Casual Lunch,45,5,Chat with close friends,Home,Morning,1
Commute,12,2,Client negotiation meeting,Gym,Morning,0
Meeting,15,3,Late-night project work,Office,Afternoon,0
Commute,120,5,Casual dinner conversation,Gym,Afternoon,1
Casual Lunch,60,4,Coding session,Home,Morning,1
Social Interaction,120,4,Stressful work deadline,Gym,Afternoon,1
Meeting,20,4,Daily long commute,Home,Morning,0
Meeting,20,3,Engaging lecture,Outdoor,Morning,0
Break,45,2,Meditation and relaxation,Home,Evening,0
Commute,45,5,Meditation and relaxation,Outdoor,Afternoon,1
Casual Lunch,120,4,Strategic planning,Home,Morning,1
Social Interaction,90,4,Relaxing with family,Outdoor,Evening,1
Exercise,120,3,Customer support call,Gym,Afternoon,0
Exercise,90,4,Stressful work deadline,Office,Morning,1
Break,12,2,Gym session with trainer,Office,Morning,0
Meeting,90,5,Discuss project details,Gym,Evening,1
Commute,45,5,Social gathering,Outdoor,Evening,1
Casual Lunch,75,5,Discuss project details,Home,Afternoon,1
Social Interaction,75,5,Casual online chat,Home,Evening,1
Exercise,60,4,Board meeting with executives,Office,Afternoon,1
Meeting,45,5,Social gathering,Gym,Afternoon,1
Break,45,4,Engaging lecture,Gym,Morning,1
Exercise,75,5,Public speaking event,Home,Morning,1
Exercise,90,4,Deep work session,Home,Morning,1
Break,60,3,Networking with professionals,Outdoor,Afternoon,0
Casual Lunch,45,2,Lunch meeting with potential clients,Outdoor,Evening,0
Casual Lunch,20,1,Quick coffee break,Home,Morning,0
Break,15,4,Social gathering,Office,Afternoon,0
Casual Lunch,60,2,Discuss project details,Outdoor,Afternoon,0
Social Interaction,75,4,Presentation preparation,Home,Afternoon,1
Casual Lunch,20,4,Coding session,Outdoor,Morning,0
Commute,90,4,Casual dinner conversation,Home,Morning,1
Social Interaction,60,4,Deep work session,Outdoor,Afternoon,1
Social Interaction,75,4,Solo reflection time,Gym,Morning,1
Casual Lunch,120,4,Strategic planning,Gym,Morning,1
Social Interaction,45,4,Late-night project work,Outdoor,Evening,1
Social Interaction,75,3,Casual dinner conversation,Home,Morning,0
Break,120,3,Deep work session,Office,Evening,0
Casual Lunch,90,4,Public speaking event,Gym,Morning,1
Social Interaction,45,4,Daily long commute,Gym,Morning,1
Meeting,75,5,Went for a long walk,Outdoor,Afternoon,1
Meeting,90,5,Public speaking event,Home,Afternoon,1
Commute,20,3,Coding session,Outdoor,Morning,0
Break,90,4,Deep work session,Home,Morning,1
Exercise,45,4,Discuss project details,Gym,Evening,1
Commute,30,3,Brainstorming new ideas,Office,Evening,0
Casual Lunch,120,4,Outdoor adventure,Office,Morning,1
Commute,15,5,Casual dinner conversation,Outdoor,Morning,0
Exercise,60,5,Intense workout session,Home,Evening,1
Exercise,90,5,Gym session with trainer,Office,Morning,1
Break,90,4,Deep work session,Gym,Evening,1
Meeting,90,4,Outdoor adventure,Office,Morning,1
Exercise,120,3,Late-night project work,Gym,Afternoon,0
Break,120,4,Board meeting with executives,Gym,Afternoon,1
Social Interaction,60,3,Stressful work deadline,Outdoor,Morning,0
Social Interaction,45,3,Customer support call,Gym,Morning,0
Break,20,3,Coding session,Home,Afternoon,0
Commute,60,5,Coding session,Gym,Evening,1
Commute,90,5,Intense workout session,Home,Evening,1
Social Interaction,20,3,Focused reading session,Outdoor,Morning,0
Commute,75,4,Gym session with trainer,Office,Morning,1
Social Interaction,45,4,Networking with professionals,Office,Evening,1
Casual Lunch,75,1,Team-building activity,Gym,Evening,0
Break,60,5,Brainstorming new ideas,Office,Evening,1
Social Interaction,75,2,Client negotiation meeting,Office,Afternoon,0
Break,15,3,Casual online chat,Outdoor,Morning,0
Commute,45,4,Networking with professionals,Office,Morning,1
Commute,45,5,Presentation preparation,Gym,Morning,1
Break,75,5,Gym session with trainer,Gym,Afternoon,1
Exercise,30,3,Casual online chat,Gym,Afternoon,0
Commute,75,1,Casual dinner conversation,Office,Morning,0
Exercise,20,3,Public speaking event,Gym,Afternoon,0
Break,60,3,Social gathering,Outdoor,Afternoon,0
Commute,12,1,Public speaking event,Office,Morning,0
Exercise,75,5,Focused reading session,Office,Afternoon,1
Commute,60,3,Casual online chat,Home,Afternoon,0
Meeting,60,4,Deep work session,Gym,Evening,1
Casual Lunch,60,2,Casual online chat,Gym,Evening,0
Casual Lunch,30,4,Social gathering,Office,Evening,0
Casual Lunch,45,5,Board meeting with executives,Gym,Morning,1
Commute,60,4,Focused reading session,Outdoor,Evening,1
Commute,120,1,Relaxing with family,Gym,Afternoon,0
Social Interaction,20,1,Solo reflection time,Office,Afternoon,0
Break,120,1,Relaxing with family,Office,Afternoon,0
Casual Lunch,120,5,Team-building activity,Gym,Morning,1
Meeting,90,5,Meditation and relaxation,Outdoor,Afternoon,1
Exercise,45,1,Meditation and relaxation,Gym,Morning,0
Meeting,60,4,Coding session,Office,Afternoon,1
Exercise,120,1,Discuss project details,Home,Evening,0
Break,12,2,Relaxing with family,Gym,Evening,0
Meeting,12,1,Went for a long walk,Gym,Evening,0
Social Interaction,60,5,Outdoor adventure,Gym,Evening,1
Exercise,20,3,Engaging lecture,Outdoor,Evening,0
Casual Lunch,15,3,Stressful work deadline,Outdoor,Evening,0
Commute,60,4,Engaging lecture,Gym,Morning,1
Social Interaction,15,5,Networking with professionals,Home,Afternoon,0
Commute,90,5,Board meeting with executives,Office,Morning,1
Break,120,4,Relaxing with family,Home,Evening,1
Meeting,45,3,Casual dinner conversation,Gym,Morning,0
Social Interaction,60,5,Solo reflection time,Outdoor,Morning,1
Meeting,12,2,Social gathering,Home,Morning,0
Casual Lunch,45,3,Chat with close friends,Outdoor,Afternoon,0
Break,20,2,Social gathering,Gym,Morning,0
Commute,60,4,Late-night project work,Home,Morning,1
Social Interaction,120,5,Social gathering,Gym,Evening,1
Meeting,90,4,Stressful work deadline,Office,Morning,1
Exercise,15,4,Gym session with trainer,Gym,Evening,0
Exercise,12,4,Public speaking event,Outdoor,Morning,0
Social Interaction,120,2,Relaxing with family,Home,Morning,0
Meeting,120,5,Focused reading session,Home,Evening,1
Exercise,12,4,Focused reading session,Office,Morning,0
Commute,20,4,Strategic planning,Gym,Morning,0
Exercise,20,3,Meditation and relaxation,Home,Morning,0
Meeting,90,4,Casual online chat,Home,Morning,1
Meeting,75,4,Relaxing with family,Outdoor,Afternoon,1
Break,20,3,Daily long commute,Office,Morning,0
Social Interaction,45,4,Stressful work deadline,Office,Morning,1
Break,120,4,Outdoor adventure,Gym,Afternoon,1
Social Interaction,90,4,Outdoor adventure,Outdoor,Evening,1
Meeting,60,4,Daily long commute,Home,Morning,1
Exercise,75,5,Engaging lecture,Outdoor,Afternoon,1
Break,45,4,Presentation preparation,Gym,Evening,1
Social Interaction,30,3,Focused reading session,Home,Evening,0
Exercise,20,4,Chat with close friends,Office,Afternoon,0
Meeting,90,3,Brainstorming new ideas,Office,Morning,0
Meeting,60,1,Stressful work deadline,Gym,Evening,0
Casual Lunch,20,5,Engaging lecture,Office,Evening,0
Casual Lunch,45,4,Intense workout session,Office,Afternoon,1
Break,20,2,Coding session,Outdoor,Morning,0
Meeting,90,5,Casual dinner conversation,Outdoor,Afternoon,1
Exercise,120,5,Public speaking event,Gym,Afternoon,1
Break,20,1,Public speaking event,Gym,Evening,0
Casual Lunch,90,4,Brainstorming new ideas,Gym,Morning,1
Exercise,75,5,Quick coffee break,Gym,Morning,1
Exercise,90,4,Daily long commute,Home,Morning,1
Social Interaction,30,3,Casual online chat,Outdoor,Afternoon,0
Casual Lunch,20,3,Went for a long walk,Outdoor,Morning,0
Meeting,60,4,Casual online chat,Gym,Morning,1
Exercise,120,5,Quick coffee break,Home,Evening,1
Break,90,5,Chat with close friends,Home,Evening,1
Exercise,60,4,Chat with close friends,Home,Morning,1
Social Interaction,45,4,Solo reflection time,Home,Morning,1
Exercise,12,4,Board meeting with executives,Office,Morning,0
Commute,45,4,Daily long commute,Home,Morning,1
Meeting,120,4,Coding session,Home,Morning,1
Casual Lunch,60,5,Relaxing with family,Home,Morning,1
Exercise,20,4,Intense workout session,Home,Morning,0
Break,15,2,Engaging lecture,Office,Afternoon,0
Commute,45,4,Daily long commute,Office,Morning,1
Meeting,60,2,Team-building activity,Gym,Morning,0
Casual Lunch,60,1,Discuss project details,Home,Morning,0
Casual Lunch,30,4,Coding session,Office,Evening,0
Commute,20,5,Client negotiation meeting,Outdoor,Morning,0
Commute,30,1,Relaxing with family,Home,Morning,0
Casual Lunch,45,3,Went for a long walk,Office,Morning,0
Break,30,2,Discuss project details,Outdoor,Morning,0
Casual Lunch,45,5,Lunch meeting with potential clients,Outdoor,Morning,1
Commute,45,4,Relaxing with family,Gym,Evening,1
Casual Lunch,60,1,Meditation and relaxation,Outdoor,Morning,0
Social Interaction,90,2,Solo reflection time,Office,Afternoon,0
Commute,15,5,Intense workout session,Outdoor,Evening,0
Casual Lunch,120,5,Social gathering,Gym,Afternoon,1
Break,75,2,Social gathering,Office,Evening,0
Break,45,4,Discuss project details,Gym,Morning,1
Break,12,5,Outdoor adventure,Office,Morning,0
Commute,75,5,Client negotiation meeting,Home,Afternoon,1
Break,15,3,Chat with close friends,Home,Morning,0
Commute,90,3,Strategic planning,Outdoor,Morning,0
Casual Lunch,12,4,Casual online chat,Gym,Morning,0
Break,45,4,Focused reading session,Outdoor,Evening,1
Exercise,90,4,Casual dinner conversation,Gym,Evening,1
Commute,75,2,Casual online chat,Gym,Evening,0
Casual Lunch,120,5,Team-building activity,Gym,Evening,1
Break,90,3,Went for a long walk,Home,Morning,0
Exercise,30,4,Chat with close friends,Outdoor,Morning,0
Commute,45,4,Intense workout session,Outdoor,Evening,1
Meeting,120,5,Customer support call,Outdoor,Morning,1
Commute,60,5,Strategic planning,Home,Morning,1
Exercise,45,1,Public speaking event,Gym,Morning,0
Casual Lunch,75,2,Late-night project work,Outdoor,Afternoon,0
Casual Lunch,120,4,Brainstorming new ideas,Home,Morning,1
Commute,20,1,Customer support call,Office,Evening,0
Social Interaction,45,4,Deep work session,Home,Morning,1
Casual Lunch,45,4,Casual dinner conversation,Home,Morning,1
Exercise,75,1,Customer support call,Gym,Morning,0
Break,120,4,Deep work session,Office,Morning,1
Break,120,4,Public speaking event,Outdoor,Morning,1
Meeting,120,5,Focused reading session,Outdoor,Evening,1
Social Interaction,75,5,Brainstorming new ideas,Office,Morning,1
Commute,75,5,Went for a long walk,Office,Morning,1
Break,75,5,Relaxing with family,Gym,Morning,1
Commute,15,4,Networking with professionals,Outdoor,Evening,0
Casual Lunch,12,3,Went for a long walk,Outdoor,Evening,0
Break,20,3,Public speaking event,Home,Evening,0
Meeting,20,2,Brainstorming new ideas,Outdoor,Morning,0
Social Interaction,90,4,Daily long commute,Gym,Afternoon,1
Social Interaction,45,4,Engaging lecture,Office,Afternoon,1
Social Interaction,60,4,Casual dinner conversation,Home,Morning,1
Break,90,5,Intense workout session,Outdoor,Afternoon,1
Meeting,120,5,Client negotiation meeting,Outdoor,Morning,1
Commute,15,5,Meditation and relaxation,Office,Morning,0
Casual Lunch,120,2,Coding session,Gym,Morning,0
Commute,20,2,Intense workout session,Outdoor,Morning,0
Social Interaction,15,4,Relaxing with family,Gym,Afternoon,0
Break,75,4,Gym session with trainer,Gym,Morning,1
Commute,15,4,Stressful work deadline,Office,Morning,0
Break,75,1,Deep work session,Outdoor,Morning,0
Break,90,5,Focused reading session,Outdoor,Morning,1
Commute,120,2,Engaging lecture,Home,Evening,0
Meeting,120,5,Engaging lecture,Gym,Morning,1
Casual Lunch,20,5,Stressful work deadline,Home,Morning,0
Social Interaction,12,3,Customer support call,Outdoor,Morning,0
Social Interaction,60,5,Late-night project work,Home,Morning,1
Social Interaction,20,1,Client negotiation meeting,Gym,Evening,0
Casual Lunch,90,3,Engaging lecture,Office,Morning,0
Commute,90,5,Casual online chat,Home,Morning,1
Social Interaction,120,4,Customer support call,Outdoor,Morning,1
Exercise,90,2,Daily long commute,Office,Afternoon,0
Meeting,60,1,Presentation preparation,Outdoor,Morning,0
Social Interaction,20,5,Went for a long walk,Gym,Evening,0
Break,45,1,Intense workout session,Gym,Evening,0
Social Interaction,60,2,Quick coffee break,Office,Morning,0
Social Interaction,75,1,Meditation and relaxation,Office,Evening,0
Commute,45,4,Deep work session,Office,Evening,1
Break,75,5,Engaging lecture,Gym,Evening,1
Exercise,45,3,Client negotiation meeting,Outdoor,Evening,0
